Timestamp,Which track do you work with?,Gender,Please describe what the term interdisciplinarity means to you,How important do you think interdisciplinary work is for your field?,"How important, if at all, do you think interdisciplinarity is for society in general?",How would you rate the ability of the curriculum proposed on paper by the AIRE Master (all three tracks) to meaningfully connect a variety of disciplines?,How would you assess the cross conversation between different tracks of the AIRE Master?,How would you rate the AIRE program in terms of its ability to offer opportunities for students to interact with teachers of other tracks?,How would you assess the interdisciplinarity in the learning objectives of the classes during the Bootcamp?,"How would you assess the interdisciplinarity in the learning objectives of the semester-long classes within the track that you teach (the whole track, not your course specifically)?","How interdisciplinary do you think your course is? That is, how well do you think the design of your course allows your students to make meaningful and effective connections to other disciplines?","According to your interaction with your students, how  satisfied do you think they are with the range of interdisciplinary activities at the CRI?",Please rate the following statements (1 being the one you agree the most with and 8 being the one you disagree the most with): [Interdisciplinary research usually has less scientific depth.],Please rate the following statements (1 being the one you agree the most with and 8 being the one you disagree the most with): [Interdisciplinary research does not require everyone to converge on definitions based on one specific discipline],Please rate the following statements (1 being the one you agree the most with and 8 being the one you disagree the most with): [Any complex problem facing society today requires interdisciplinary research],Please rate the following statements (1 being the one you agree the most with and 8 being the one you disagree the most with): [Interdisciplinary research needs the contribution of non-academics.],Please rate the following statements (1 being the one you agree the most with and 8 being the one you disagree the most with): [Peers in my core discipline(s) often consider interdisciplinary research less rigorous],Please rate the following statements (1 being the one you agree the most with and 8 being the one you disagree the most with): [Interdisciplinary research often provides better job opportunities],Please rate the following statements (1 being the one you agree the most with and 8 being the one you disagree the most with): [Additional training is required to undertake interdisciplinary research],Please rate the following statements (1 being the one you agree the most with and 8 being the one you disagree the most with): [Interdisciplinary research provides more learning opportunities through the interaction with experts in other disciplines],Please provide any suggestions on how the current status of interdisciplinary activities at the CRI can be improved 
11/24/2021 16:43:40,"M1 Digital Sciences, M1 Learning Sciences, M1 Life Sciences",Male,"Combining in research or teaching academic disciplines or fields of study, but also other areas of knowledge (like professional areas, personal expertises, local contexts)",8,5,7,8,5,7,6,8,6,5,6,1,3,7,8,4,2,"A visual map of research / teaching regarding disciplines (and its interconnections when they happen or are desired) in a big format at some shared space in the CRI (like learning centre, or entry)"
12/1/2021 15:40:50,"M1 Digital Sciences, M1 Learning Sciences, M1 Life Sciences, M2 Digital Sciences, M2 Learning Sciences, M2 Life Sciences",Male,Interdisciplinarity is a way of making multiple disciplines interact together in order to solve problems or construct novel questions that appear only at the interface of disciplines,10,10,6,4,6,8,7,9,6,7,8,1,4,5,6,2,3,Make the teachers and students of the different tracks meet more often 
12/1/2021 15:58:09,"M1 Digital Sciences, M1 Learning Sciences, M1 Life Sciences, M2 Digital Sciences, M2 Learning Sciences, M2 Life Sciences",Male,Combining multiple disciplines in one research subject,10,10,5,4,5,6,4,10,1,8,7,2,3,4,5,6,1,
12/1/2021 16:00:59,M1 Digital Sciences,Male,Meshing ideas and methods from different disciplines to utilize the best of each in a new context; breaking down the false dichotomy between science and humanities ,8,10,7,9,10,9,6,9,6,7,6,2,5,3,8,4,1,"Social science and qualitative research are a real thing. As is humanities and critical theory and these should not be assumed to be intuitive to people from the natural or data sciences. We need to teach these theories and methods, for example through grounded theory which meshes both. "
12/1/2021 16:42:43,"M1 Digital Sciences, M2 Digital Sciences",Non-binary,Tackling problems using insight and/or methods from several disciplinary fields.,10,10,10,8,8,8,8,9,8,7,4,2,3,7,4,1,1,
12/1/2021 22:53:00,M1 Digital Sciences,Male,"People from different background, interests, experiences and ideologies collaborating together",6,7,6,3,5,5,6,7,5,5,4,3,2,2,5,3,2,"Interdisciplinary teams perform very well only when each member in the team is skillful/knowledgeable in at least one or more disciplines.

So students should always remember to what expertise they are bringing to the team and polish their core skills while being a part of a diverse team. At the end of the day mastery in any field requires good planning, hard work and time investment.

It is always a good idea to reflect on why a student chose to be part of a interdisciplinary program.
"
12/7/2021 16:34:07,M2 Digital Sciences,Male,Several people willing to bring their disciplinary expertise and learn from each other in a new collaborative way to solve a problem.,7,7,7,7,8,8,7,7,7,6,5,4,2,6,2,4,1,
12/8/2021 20:59:22,"M1 Life Sciences, M2 Life Sciences",Female,interdisciplinarity is the use of tools and methods historically associated with only one discipline to study a scientific question in a given field of another discipline,10,8,8,4,6,7,10,8,8,8,4,1,6,6,2,3,1,
12/10/2021 7:38:39,M1 Digital Sciences,Male,The ability to be at the crossroads of the knowledge and method of different discipline from human sciences to technologies.,10,10,8,4,5,7,6,9,7,6,3,2,1,5,3,3,1,More detailed communication inside and outside CRI about these activities. 
12/11/2021 10:41:18,M1 Life Sciences,Male,"""It isn't obvious what journals, grants and conferences support this work""",8,10,7,4,7,8,6,7,8,6,2,1,1,4,3,3,2,"Organize more around projects, less around subjects."
12/13/2021 10:26:54,M2 Life Sciences,Male,A variety of competences needed or brought together for a common problem,10,6,8,4,7,8,9,7,8,3,6,3,6,7,6,1,6,"Bringing together more diverse student backgrounds and focusing training on how to interact, not on expecting a broad coverage of competences by single individuals (granted that everyone has to have a basic preparation in all)"
12/14/2021 18:08:30,M1 Life Sciences,Male,At the interface between at least two scientific fields,7,5,8,5,,7,6,8,7,4,7,8,5,8,5,8,3,
12/17/2021 14:07:22,M1 Life Sciences,Male,Blending knowledge from different fields to gain new insights,7,5,8,5,4,7,7,6,5,6,4,2,5,2,2,2,2,
1/12/2022 23:38:44,M1 Life Sciences,Male,bridging different topics,8,6,8,8,7,7,8,8,8,4,3,2,7,8,3,1,2,
,,,,8.5,7.785714286,7.357142857,5.5,6.384615385,7.285714286,6.857142857,8,6.428571429,5.857142857,4.928571429,2.428571429,3.785714286,5.285714286,4.428571429,3.214285714,2,
